step,time,0,1,2,3,4,5,6,7,
339, 2015/1/2 4:15:00,4,0,0,0,0,0,0,0,
340, 2015/1/2 4:20:00,4,0,0,0,0,0,0,0,
341, 2015/1/2 4:25:00,4,0,0,0,0,0,0,0,
342, 2015/1/2 4:30:00,4,0,0,0,0,0,0,0,
343, 2015/1/2 4:35:00,4,0,0,0,0,0,0,0,
344, 2015/1/2 4:40:00,4,0,0,0,0,0,0,0,
345, 2015/1/2 4:45:00,4,0,0,0,0,0,0,0,
346, 2015/1/2 4:50:00,4,0,0,0,0,0,0,0,
347, 2015/1/2 4:55:00,4,0,0,0,0,0,0,0,
348, 2015/1/2 5:0:00,4,0,0,0,0,0,0,0,
349, 2015/1/2 5:5:00,4,0,0,0,0,0,0,0,
350, 2015/1/2 5:10:00,4,0,0,0,0,0,0,0,
351, 2015/1/2 5:15:00,4,0,0,0,0,0,0,0,
352, 2015/1/2 5:20:00,4,0,0,0,0,0,0,0,
353, 2015/1/2 5:25:00,4,0,0,0,0,0,0,0,
354, 2015/1/2 5:30:00,4,0,0,0,0,0,0,0,
355, 2015/1/2 5:35:00,4,0,0,0,0,0,0,0,
356, 2015/1/2 5:40:00,4,0,0,0,0,0,0,0,
357, 2015/1/2 5:45:00,4,0,0,0,0,0,0,0,
358, 2015/1/2 5:50:00,4,0,0,0,0,0,0,0,
359, 2015/1/2 5:55:00,4,0,0,0,0,0,0,0,
360, 2015/1/2 6:0:00,4,0,0,0,0,0,0,0,
361, 2015/1/2 6:5:00,4,0,0,0,0,0,0,0,
362, 2015/1/2 6:10:00,4,0,0,0,0,0,0,0,
363, 2015/1/2 6:15:00,4,0,0,0,0,0,0,0,
364, 2015/1/2 6:20:00,4,0,0,0,0,0,0,0,
365, 2015/1/2 6:25:00,4,0,0,0,0,0,0,0,
366, 2015/1/2 6:30:00,4,0,0,0,0,0,0,0,
367, 2015/1/2 6:35:00,4,0,0,0,0,0,0,0,
368, 2015/1/2 6:40:00,4,0,0,0,0,0,0,0,
369, 2015/1/2 6:45:00,4,0,0,0,0,0,0,0,
370, 2015/1/2 6:50:00,4,0,0,0,0,0,0,0,
371, 2015/1/2 6:55:00,4,0,0,0,0,0,0,0,
372, 2015/1/2 7:0:00,4,0,0,0,0,0,0,0,
373, 2015/1/2 7:5:00,4,0,0,0,0,0,0,0,
374, 2015/1/2 7:10:00,4,0,0,0,0,0,0,0,
375, 2015/1/2 7:15:00,4,0,0,0,0,0,0,0,
376, 2015/1/2 7:20:00,4,0,0,0,0,0,0,0,
377, 2015/1/2 7:25:00,4,0,0,0,0,0,0,0,
378, 2015/1/2 7:30:00,4,0,0,0,0,0,0,0,
379, 2015/1/2 7:35:00,4,0,0,0,0,0,0,0,
380, 2015/1/2 7:40:00,4,0,0,0,0,0,0,0,
381, 2015/1/2 7:45:00,4,0,0,0,0,0,0,0,
382, 2015/1/2 7:50:00,4,0,0,0,0,0,0,0,
383, 2015/1/2 7:55:00,4,0,0,0,0,0,0,0,
384, 2015/1/2 8:0:00,4,0,0,0,0,0,0,0,
385, 2015/1/2 8:5:00,0,2,2,0,0,0,0,0,
386, 2015/1/2 8:10:00,0,2,2,0,0,0,0,0,
387, 2015/1/2 8:15:00,0,2,2,0,0,0,0,0,
388, 2015/1/2 8:20:00,0,2,2,0,0,0,0,0,
389, 2015/1/2 8:25:00,0,2,2,0,0,0,0,0,
390, 2015/1/2 8:30:00,0,2,2,0,0,0,0,0,
391, 2015/1/2 8:35:00,0,2,2,0,0,0,0,0,
392, 2015/1/2 8:40:00,0,2,2,0,0,0,0,0,
393, 2015/1/2 8:45:00,0,2,2,0,0,0,0,0,
394, 2015/1/2 8:50:00,0,2,1,1,0,0,0,0,
395, 2015/1/2 8:55:00,0,2,1,1,0,0,0,0,
396, 2015/1/2 9:0:00,0,2,2,0,0,0,0,0,
397, 2015/1/2 9:5:00,0,2,2,0,0,0,0,0,
398, 2015/1/2 9:10:00,0,2,2,0,0,0,0,0,
399, 2015/1/2 9:15:00,0,2,1,0,0,0,0,1,
400, 2015/1/2 9:20:00,0,2,0,0,0,0,0,2,
401, 2015/1/2 9:25:00,0,2,1,0,0,0,0,1,
402, 2015/1/2 9:30:00,0,2,1,0,0,0,0,1,
403, 2015/1/2 9:35:00,0,2,1,0,0,0,0,1,
404, 2015/1/2 9:40:00,0,2,1,0,0,0,0,1,
405, 2015/1/2 9:45:00,0,1,2,1,0,0,0,0,
406, 2015/1/2 9:50:00,0,1,2,1,0,0,0,0,
407, 2015/1/2 9:55:00,0,1,2,1,0,0,0,0,
408, 2015/1/2 10:0:00,0,2,2,0,0,0,0,0,
409, 2015/1/2 10:5:00,0,2,2,0,0,0,0,0,
410, 2015/1/2 10:10:00,0,2,1,1,0,0,0,0,
411, 2015/1/2 10:15:00,0,2,2,0,0,0,0,0,
412, 2015/1/2 10:20:00,0,2,1,0,1,0,0,0,
413, 2015/1/2 10:25:00,0,1,1,0,1,0,0,1,
414, 2015/1/2 10:30:00,0,1,2,0,0,0,0,1,
415, 2015/1/2 10:35:00,0,1,2,0,0,0,0,1,
416, 2015/1/2 10:40:00,0,1,2,0,1,0,0,0,
417, 2015/1/2 10:45:00,0,1,2,1,0,0,0,0,
418, 2015/1/2 10:50:00,0,1,2,1,0,0,0,0,
419, 2015/1/2 10:55:00,0,1,2,1,0,0,0,0,
420, 2015/1/2 11:0:00,0,2,2,0,0,0,0,0,
