Version Num, 1.00, 
Building Num, 1, 
Room Num, 12, 
Occupant Num, 21, 
Start Time, 2015-1-0, 
End Time, 2015-1-10, 
step,time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
176, 2015/1/1 14:40:00, 3,1,9,9,2,2,4,3,9,4,4,3,5,5,5,6,1,12,11,7,9,
177, 2015/1/1 14:45:00, 1,1,9,9,2,2,4,3,9,4,4,3,5,5,5,6,1,12,8,7,9,
178, 2015/1/1 14:50:00, 1,1,9,9,2,2,4,3,9,4,10,3,5,5,10,6,10,12,10,7,9,
179, 2015/1/1 14:55:00, 1,1,9,9,2,2,4,3,9,4,10,4,5,5,10,6,10,12,10,7,9,
180, 2015/1/1 15:0:00, 0,1,9,9,2,2,4,3,9,4,10,4,5,11,10,6,10,6,10,7,9,
181, 2015/1/1 15:5:00, 0,1,9,9,2,2,3,3,9,4,10,4,5,11,10,6,10,6,10,7,9,
182, 2015/1/1 15:10:00, 0,1,9,9,2,2,3,3,9,4,10,4,5,5,10,12,10,6,10,7,9,
183, 2015/1/1 15:15:00, 0,1,9,9,2,2,3,3,9,4,10,4,5,5,10,12,10,6,10,7,9,
184, 2015/1/1 15:20:00, 4,1,9,9,2,2,11,3,9,4,10,4,5,5,10,12,10,6,10,7,9,
185, 2015/1/1 15:25:00, 4,1,9,9,2,2,11,3,9,4,10,4,5,5,10,8,10,8,10,11,9,
186, 2015/1/1 15:30:00, 8,1,9,9,2,2,7,3,9,4,10,4,5,11,10,8,10,8,10,7,9,
187, 2015/1/1 15:35:00, 8,1,9,9,2,2,7,3,9,4,10,4,5,11,10,3,10,6,10,7,9,
188, 2015/1/1 15:40:00, 8,1,9,9,11,2,7,3,9,4,10,7,5,5,10,3,10,6,10,7,9,
189, 2015/1/1 15:45:00, 3,1,9,9,8,2,7,3,9,4,6,4,5,5,7,3,5,6,1,7,9,
190, 2015/1/1 15:50:00, 3,1,9,9,5,2,7,3,9,4,6,4,5,5,7,6,5,6,1,7,9,
191, 2015/1/1 15:55:00, 8,1,9,9,5,2,1,3,9,4,6,4,5,5,7,6,5,6,1,7,9,
192, 2015/1/1 16:0:00, 0,1,9,9,5,2,1,3,9,4,6,4,5,5,7,6,5,11,1,7,9,
193, 2015/1/1 16:5:00, 0,1,9,9,0,2,1,3,9,4,6,4,5,5,7,6,5,11,7,7,9,
194, 2015/1/1 16:10:00, 0,1,9,9,0,2,1,3,9,4,6,12,5,8,5,6,0,11,11,7,9,
195, 2015/1/1 16:15:00, 0,1,9,9,0,2,1,3,9,4,6,12,5,8,5,6,0,11,11,7,9,
196, 2015/1/1 16:20:00, 0,1,9,9,0,10,10,3,9,4,6,12,5,8,5,6,0,10,10,7,9,
197, 2015/1/1 16:25:00, 1,8,9,9,0,2,3,3,9,4,4,12,5,5,5,6,1,2,8,7,9,
198, 2015/1/1 16:30:00, 1,1,9,9,0,2,5,3,9,4,4,4,5,5,5,12,1,2,8,7,9,
199, 2015/1/1 16:35:00, 1,8,9,9,10,2,10,3,9,4,10,10,5,12,5,6,1,2,10,7,9,
200, 2015/1/1 16:40:00, 1,8,9,9,10,2,10,3,9,4,10,10,5,5,5,6,1,2,10,7,9,
201, 2015/1/1 16:45:00, 1,1,9,9,10,2,10,3,9,4,10,10,5,5,5,6,1,2,10,11,9,
202, 2015/1/1 16:50:00, 1,1,9,9,10,2,10,3,9,4,10,10,5,5,5,6,1,2,10,7,9,
203, 2015/1/1 16:55:00, 1,1,9,9,10,2,10,3,9,4,10,10,5,5,5,6,1,8,10,7,9,
204, 2015/1/1 17:0:00, 1,1,9,9,10,2,10,3,9,11,10,10,8,5,5,6,1,8,10,7,9,
205, 2015/1/1 17:5:00, 1,1,9,9,10,2,10,3,9,11,10,10,8,5,5,3,1,8,10,7,9,
