step,time,0,1,2,3,4,5,6,7,8,
247, 2015/1/4 10:20:00,6,0,0,0,0,0,0,0,0,
248, 2015/1/4 10:40:00,6,0,0,0,0,0,0,0,0,
249, 2015/1/4 11:0:00,6,0,0,0,0,0,0,0,0,
250, 2015/1/4 11:20:00,6,0,0,0,0,0,0,0,0,
251, 2015/1/4 11:40:00,6,0,0,0,0,0,0,0,0,
252, 2015/1/4 12:0:00,6,0,0,0,0,0,0,0,0,
253, 2015/1/4 12:20:00,6,0,0,0,0,0,0,0,0,
254, 2015/1/4 12:40:00,6,0,0,0,0,0,0,0,0,
255, 2015/1/4 13:0:00,6,0,0,0,0,0,0,0,0,
256, 2015/1/4 13:20:00,6,0,0,0,0,0,0,0,0,
257, 2015/1/4 13:40:00,6,0,0,0,0,0,0,0,0,
258, 2015/1/4 14:0:00,6,0,0,0,0,0,0,0,0,
259, 2015/1/4 14:20:00,6,0,0,0,0,0,0,0,0,
260, 2015/1/4 14:40:00,6,0,0,0,0,0,0,0,0,
261, 2015/1/4 15:0:00,6,0,0,0,0,0,0,0,0,
262, 2015/1/4 15:20:00,6,0,0,0,0,0,0,0,0,
263, 2015/1/4 15:40:00,6,0,0,0,0,0,0,0,0,
264, 2015/1/4 16:0:00,6,0,0,0,0,0,0,0,0,
265, 2015/1/4 16:20:00,6,0,0,0,0,0,0,0,0,
266, 2015/1/4 16:40:00,6,0,0,0,0,0,0,0,0,
267, 2015/1/4 17:0:00,6,0,0,0,0,0,0,0,0,
268, 2015/1/4 17:20:00,6,0,0,0,0,0,0,0,0,
269, 2015/1/4 17:40:00,6,0,0,0,0,0,0,0,0,
270, 2015/1/4 18:0:00,6,0,0,0,0,0,0,0,0,
271, 2015/1/4 18:20:00,6,0,0,0,0,0,0,0,0,
272, 2015/1/4 18:40:00,6,0,0,0,0,0,0,0,0,
273, 2015/1/4 19:0:00,6,0,0,0,0,0,0,0,0,
274, 2015/1/4 19:20:00,6,0,0,0,0,0,0,0,0,
275, 2015/1/4 19:40:00,6,0,0,0,0,0,0,0,0,
276, 2015/1/4 20:0:00,6,0,0,0,0,0,0,0,0,
277, 2015/1/4 20:20:00,6,0,0,0,0,0,0,0,0,
278, 2015/1/4 20:40:00,6,0,0,0,0,0,0,0,0,
279, 2015/1/4 21:0:00,6,0,0,0,0,0,0,0,0,
280, 2015/1/4 21:20:00,6,0,0,0,0,0,0,0,0,
281, 2015/1/4 21:40:00,6,0,0,0,0,0,0,0,0,
282, 2015/1/4 22:0:00,6,0,0,0,0,0,0,0,0,
283, 2015/1/4 22:20:00,6,0,0,0,0,0,0,0,0,
284, 2015/1/4 22:40:00,6,0,0,0,0,0,0,0,0,
285, 2015/1/4 23:0:00,6,0,0,0,0,0,0,0,0,
286, 2015/1/4 23:20:00,6,0,0,0,0,0,0,0,0,
287, 2015/1/4 23:40:00,6,0,0,0,0,0,0,0,0,
288, 2015/1/5 0:0:00,6,0,0,0,0,0,0,0,0,
289, 2015/1/5 0:20:00,6,0,0,0,0,0,0,0,0,
290, 2015/1/5 0:40:00,6,0,0,0,0,0,0,0,0,
291, 2015/1/5 1:0:00,6,0,0,0,0,0,0,0,0,
292, 2015/1/5 1:20:00,6,0,0,0,0,0,0,0,0,
293, 2015/1/5 1:40:00,6,0,0,0,0,0,0,0,0,
294, 2015/1/5 2:0:00,6,0,0,0,0,0,0,0,0,
295, 2015/1/5 2:20:00,6,0,0,0,0,0,0,0,0,
296, 2015/1/5 2:40:00,6,0,0,0,0,0,0,0,0,
297, 2015/1/5 3:0:00,6,0,0,0,0,0,0,0,0,
298, 2015/1/5 3:20:00,6,0,0,0,0,0,0,0,0,
299, 2015/1/5 3:40:00,6,0,0,0,0,0,0,0,0,
300, 2015/1/5 4:0:00,6,0,0,0,0,0,0,0,0,
301, 2015/1/5 4:20:00,6,0,0,0,0,0,0,0,0,
302, 2015/1/5 4:40:00,6,0,0,0,0,0,0,0,0,
303, 2015/1/5 5:0:00,6,0,0,0,0,0,0,0,0,
304, 2015/1/5 5:20:00,6,0,0,0,0,0,0,0,0,
305, 2015/1/5 5:40:00,6,0,0,0,0,0,0,0,0,
306, 2015/1/5 6:0:00,6,0,0,0,0,0,0,0,0,
307, 2015/1/5 6:20:00,6,0,0,0,0,0,0,0,0,
308, 2015/1/5 6:40:00,6,0,0,0,0,0,0,0,0,
309, 2015/1/5 7:0:00,6,0,0,0,0,0,0,0,0,
310, 2015/1/5 7:20:00,6,0,0,0,0,0,0,0,0,
311, 2015/1/5 7:40:00,6,0,0,0,0,0,0,0,0,
312, 2015/1/5 8:0:00,6,0,0,0,0,0,0,0,0,
313, 2015/1/5 8:20:00,5,0,1,0,0,0,0,0,0,
314, 2015/1/5 8:40:00,5,0,0,0,1,0,0,0,0,
315, 2015/1/5 9:0:00,3,0,2,1,0,0,0,0,0,
316, 2015/1/5 9:20:00,0,0,0,0,0,0,6,0,0,
317, 2015/1/5 9:40:00,0,0,0,0,0,0,6,0,0,
318, 2015/1/5 10:0:00,0,0,0,0,0,0,6,0,0,
319, 2015/1/5 10:20:00,0,0,0,0,0,0,6,0,0,
320, 2015/1/5 10:40:00,0,0,0,0,0,0,6,0,0,
321, 2015/1/5 11:0:00,0,0,0,0,0,0,6,0,0,
322, 2015/1/5 11:20:00,2,0,1,0,0,1,0,2,0,
323, 2015/1/5 11:40:00,1,2,0,1,0,0,0,1,1,
324, 2015/1/5 12:0:00,1,0,2,1,0,0,0,2,0,
